所属概念数量,股票代码,market_code,所属概念,code
9.0,600889.SH,22,人形机器人;机器人概念;工业母机;商业航天;国企改革;ST板块;参股券商;光刻机;股权转让(并购重组),600889
13.0,600435.SH,17,国产航母;军工信息化;军民融合;军工;卫星导航;无人机;央企国企改革;高端装备;2025年报预增;国企改革;证金持股;沪股通;融资融券,600435
22.0,601728.SH,17,同花顺中特估100;高股息精选;国资云;国企改革;央企国企改革;智慧政务;DeepSeek概念;数据要素;AI应用;区块链;云计算;物联网;量子科技;卫星导航;商业航天;数据中心(AIDC);6G概念;中国AI 50;5G;中字头股票;融资融券;沪股通,601728
8.0,688096.SH,17,人工智能;云计算;DeepSeek概念;超导概念;污水处理;东数西算(算力);算力租赁;融资融券,688096
18.0,605398.SH,17,MLOps概念;华为鲲鹏;信创;AIGC概念;数据要素;百度概念;蚂蚁集团概念;腾讯概念;阿里巴巴概念;数字经济;互联网金融;短剧游戏;人工智能;华为概念;数据中心(AIDC);长三角一体化;机器人概念;沪股通,605398
6.0,600012.SH,17,高股息精选;沪股通;融资融券;PPP概念;国企改革;DeepSeek概念,600012
7.0,300894.SZ,33,创投;家用电器;智能家居;机器人概念;人形机器人;深股通;融资融券,300894
14.0,688775.SH,17,无人机;芯片概念;注册制次新股;科创次新股;人工智能;语音技术;机器人概念;虚拟现实;人民币贬值受益;消费电子概念;粤港澳大湾区;跨境电商;新股与次新股;融资融券,688775
2.0,002377.SZ,33,互联网金融;股权转让(并购重组),002377
12.0,300957.SZ,33,三胎概念;跨境电商;医美概念;创新药;医疗器械概念;创投;智能医疗;AI应用;西部大开发;人工智能;深股通;融资融券,300957
8.0,688126.SH,17,国家大基金持股;中芯国际概念;存储芯片;芯片概念;人民币贬值受益;股权转让(并购重组);沪股通;融资融券,688126
14.0,600195.SH,17,动物疫苗;维生素;禽流感;赛马概念;流感;宠物经济;乡村振兴;参股保险;国企改革;央企国企改革;2025年报预增;沪股通;中字头股票;融资融券,600195
2.0,600847.SH,17,储能;西部大开发,600847
10.0,605178.SH,17,存储芯片;芯片概念;智慧灯杆;空间计算;网约车;物联网;新型城镇化;智慧城市;数据要素;股权转让(并购重组),605178
33.0,603019.SH,17,中国AI 50;东数西算(算力);量子科技;数据中心(AIDC);芯片概念;算力租赁;液冷服务器;网络安全;国产操作系统;信创;数据安全;云计算;智谱AI;智能电网;抖音概念(字节概念);百度概念;腾讯概念;智慧城市;AI智能体;数字孪生;工业互联网;人工智能;Web3.0;区块链;DeepSeek概念;新型工业化;数字经济;智能医疗;创投;雄安新区;沪股通;同花顺中特估100;融资融券,603019
4.0,002557.SZ,33,乳业;农业种植;深股通;融资融券,002557
4.0,603889.SH,17,长三角一体化;工业互联网;高股息精选;沪股通,603889
5.0,002966.SZ,33,高股息精选;国企改革;移动支付;融资融券;深股通,002966
3.0,300651.SZ,33,足球概念;体育产业;2025年报预增,300651
6.0,002293.SZ,33,高股息精选;三胎概念;网红经济;智能家居;深股通;融资融券,002293
1.0,603020.SH,17,烟草,603020
14.0,300475.SZ,33,存储芯片;芯片概念;东数西算(算力);数据中心(AIDC);抖音概念(字节概念);腾讯概念;2026一季报预增;阿里巴巴概念;粤港澳大湾区;2025年报预增;人民币贬值受益;家用电器;深股通;融资融券,300475
17.0,688002.SH,17,汽车芯片;芯片概念;消费电子概念;毫米波雷达;卫星导航;商业航天;汽车电子;传感器;军工;无人机;比亚迪概念;无人驾驶;低空经济;2025年报预增;机器人概念;沪股通;融资融券,688002
8.0,600861.SH,17,乡村振兴;国企改革;京津冀一体化;职业教育;虚拟数字人;一带一路;人工智能;沪股通,600861
12.0,300054.SZ,33,存储芯片;中芯国际概念;先进封装;光刻胶;OLED;第三代半导体;芯片概念;柔性屏(折叠屏);锂电池概念;2026一季报预增;深股通;融资融券,300054
20.0,300873.SZ,33,新型工业化;工业互联网;人形机器人;机器人概念;数字孪生;新能源汽车;人工智能;智能物流;AI智能体;芯片概念;粤港澳大湾区;DeepSeek概念;数字经济;一带一路;跨境电商;冷链物流;统一大市场;航运概念;深股通;融资融券,300873
33.0,002878.SZ,33,体育产业;冰雪产业;NFT概念;网红经济;拼多多概念;三胎概念;Web3.0;文化传媒概念;IP经济(谷子经济);小红书概念;短剧游戏;快手概念;京津冀一体化;虚拟数字人;AI视频;AIGC概念;元宇宙;数字经济;区块链;ChatGPT概念;人工智能;数据要素;百度概念;腾讯概念;抖音概念(字节概念);阿里巴巴概念;虚拟现实;智能音箱;华为概念;小米概念;消费电子概念;无线耳机;深股通,002878
9.0,301381.SZ,33,ERP概念;跨境电商;AI应用;人工智能;DeepSeek概念;人民币贬值受益;智能物流;深股通;融资融券,301381
3.0,688758.SH,17,专精特新;沪股通;融资融券,688758
3.0,002807.SZ,33,高股息精选;深股通;融资融券,002807
5.0,001269.SZ,33,硅能源;西部大开发;光伏概念;芯片概念;深股通,001269
7.0,920088.BJ,151,一带一路;空气能热泵;净水概念;专精特新;新疆振兴;融资融券;西部大开发,920088
8.0,603324.SH,17,中芯国际概念;光刻胶;专精特新;宁德时代概念;先进封装;芯片概念;华为概念;华为海思概念股,603324
7.0,603402.SH,17,旅游概念;文化传媒概念;国企改革;西部大开发;注册制次新股;新股与次新股;融资融券,603402
13.0,300080.SZ,33,石墨电极;煤化工概念;TOPCON电池;钒电池;绿色电力;国企改革;储能;锂电池概念;石墨烯;宁德时代概念;股权转让(并购重组);融资融券;深股通,300080
9.0,300737.SZ,33,新型城镇化;水利;一带一路;核电;海峡两岸;商业航天;光伏建筑一体化;融资融券;深股通,300737
10.0,300363.SZ,33,CRO概念;减肥药;细胞免疫治疗;创新药;流感;西部大开发;人民币贬值受益;新型烟草(电子烟);融资融券;深股通,300363
6.0,002258.SZ,33,草甘膦;国企改革;西部大开发;2025年报预增;深股通;融资融券,002258
15.0,301195.SZ,33,鸿蒙概念;物联网;人工智能;DeepSeek概念;机器视觉;华为概念;无人驾驶;工业互联网;卫星导航;机器人概念;专精特新;商业航天;5G;芯片概念;融资融券,301195
9.0,603062.SH,17,碳中和;专精特新;海工装备;储能;风电;光伏概念;高股息精选;沪股通;融资融券,603062
4.0,600955.SH,17,环氧丙烷;消毒剂;锂电池概念;沪股通,600955
23.0,000021.SZ,33,存储芯片;先进封装;共封装光学(CPO);第三代半导体;芯片概念;汽车电子;超级电容;无人机;物联网;智能电网;新能源汽车;机器人概念;储能;虚拟电厂;人民币贬值受益;区块链;数字经济;智能物流;深股通;医疗器械概念;央企国企改革;国企改革;融资融券,000021
10.0,002983.SZ,33,MicroLED概念;MiniLED;消费电子概念;AI眼镜;专精特新;小米概念;汽车电子;汽车芯片;智能家居;华为概念,002983
4.0,003027.SZ,33,钠离子电池;碳中和;2025年报预增;储能,003027
6.0,920179.BJ,151,股权转让(并购重组);融资融券;芯片概念;光伏概念;中芯国际概念;专精特新,920179
15.0,002203.SZ,33,PET铜箔;PCB概念;固态电池;小金属概念;液冷服务器;锂电池概念;金属镍;特斯拉概念;金属铜;钒电池;华为概念;绿色电力;参股银行;深股通;融资融券,002203
6.0,301004.SZ,33,C2M概念;三胎概念;跨境电商;人民币贬值受益;深股通;融资融券,301004
9.0,300860.SZ,33,IP经济(谷子经济);文化传媒概念;虚拟数字人;元宇宙;旅游概念;虚拟现实;低空经济;深股通;融资融券,300860
12.0,002062.SZ,33,新型城镇化;水利;地下管网;人形机器人;PPP概念;储能;雅下水电概念;光伏概念;锂电池概念;绿色电力;深股通;融资融券,002062
9.0,000504.SZ,33,ST板块;细胞免疫治疗;CRO概念;动力电池回收;污水处理;国企改革;锂电池概念;智慧灯杆;股权转让(并购重组),000504
13.0,002455.SZ,33,磷化工;石墨电极;动力电池回收;钠离子电池;金属回收;锂电池概念;固态电池;宁德时代概念;储能;新能源汽车;光刻胶;深股通;融资融券,002455
5.0,688217.SH,17,数据要素;人工智能;医疗器械概念;基因测序;融资融券,688217
8.0,920368.BJ,151,一带一路;融资融券;硅能源;光伏概念;第三代半导体;TOPCON电池;BC电池;HJT电池,920368
5.0,601838.SH,17,高股息精选;国企改革;西部大开发;沪股通;融资融券,601838
11.0,000090.SZ,33,租售同权;物业管理;深圳国企改革;新型城镇化;国企改革;人工智能;数字孪生;粤港澳大湾区;机器人概念;深股通;融资融券,000090
8.0,300214.SZ,33,算力租赁;东数西算(算力);数据中心(AIDC);丙烯酸;液冷服务器;DeepSeek概念;专精特新;新疆振兴,300214
2.0,603199.SH,17,旅游概念;国企改革,603199
15.0,600038.SH,17,国产航母;军民融合;央企国企改革;国企改革;大飞机;黑龙江自贸区;飞行汽车(eVTOL);低空经济;军工;无人机;核电;高端装备;沪股通;融资融券;中字头股票,600038
5.0,920020.BJ,151,无人驾驶;专精特新;新股与次新股;融资融券;人民币贬值受益,920020
32.0,002886.SZ,33,PEEK材料;人形机器人;毫米波雷达;小米概念;特斯拉概念;3D打印;华为汽车;机器人概念;小米汽车;富士康概念;PCB概念;碳纤维;新能源汽车;新型烟草(电子烟);先进封装;专精特新;华为概念;粤港澳大湾区;无人机;5G;2025年报预增;低空经济;芯片概念;军工;石墨烯;商业航天;6G概念;光伏概念;核电;合成生物;特高压;深股通,002886
6.0,601319.SH,17,同花顺中特估100;中字头股票;蚂蚁集团概念;国企改革;融资融券;沪股通,601319
11.0,300936.SZ,33,PCB概念;芯片概念;毫米波雷达;5G;消费电子概念;卫星导航;专精特新;无人驾驶;储能;华为概念;融资融券,300936
4.0,002718.SZ,33,长三角一体化;智能家居;网红经济;股权转让(并购重组),002718
17.0,000513.SZ,33,仿制药一致性评价;生物疫苗;创新药;重组蛋白;流感;减肥药;猴痘概念;辅助生殖;宠物经济;基因测序;智能医疗;横琴新区;AI应用;DeepSeek概念;AI智能体;深股通;融资融券,000513
6.0,601233.SH,17,长三角一体化;煤炭概念;2025年报预增;互联网金融;沪股通;融资融券,601233
4.0,603987.SH,17,医美概念;辅助生殖;医疗器械概念;专精特新,603987
6.0,002507.SZ,33,超级品牌;预制菜;国企改革;西部大开发;深股通;融资融券,002507
8.0,300429.SZ,33,光刻胶;芯片概念;先进封装;专精特新;PCB概念;创投;深股通;融资融券,300429
22.0,002993.SZ,33,苹果概念;第三代半导体;无线充电;消费电子概念;汽车电子;AI眼镜;AI PC;数据中心(AIDC);小米概念;专精特新;新能源汽车;光伏概念;华为概念;机器人概念;充电桩;储能;露营经济;一带一路;广东自贸区;跨境电商;网红经济;深股通,002993
8.0,000011.SZ,33,深圳国企改革;物业管理;新型城镇化;化债概念(AMC概念);国企改革;一带一路;粤港澳大湾区;深股通,000011
6.0,001338.SZ,33,啤酒概念;粮食概念;乡村振兴;国企改革;粤港澳大湾区;深股通,001338
5.0,001378.SZ,33,粤港澳大湾区;参股银行;锂电池概念;消费电子概念;融资融券,001378
4.0,002832.SZ,33,体育产业;网红经济;融资融券;深股通,002832
10.0,002816.SZ,33,机器人概念;高压快充;污水处理;光刻机;储能;芯片概念;ST板块;国企改革;先进封装;股权转让(并购重组),002816
6.0,605016.SH,17,代糖概念;参股银行;人民币贬值受益;专精特新;海峡两岸;沪股通,605016
11.0,002058.SZ,33,股权转让(并购重组);长安汽车概念;新型工业化;特斯拉概念;创投;新能源汽车;传感器;ST板块;石墨烯;锂电池概念;固态电池,002058
6.0,600595.SH,17,煤炭概念;2025年报预增;超导概念;风电;融资融券;沪股通,600595
12.0,603928.SH,17,丙烯酸;锂电池概念;3D打印;高铁;光刻胶;新能源汽车;2025年报预增;在线教育;大飞机;风电;芯片概念;先进封装,603928
11.0,920106.BJ,151,两轮车;碳纤维;2025年报预增;军工;新能源汽车;飞行汽车(eVTOL);低空经济;农机;融资融券;长安汽车概念;比亚迪概念,920106
13.0,603180.SH,17,虚拟数字人;创投;AIGC概念;一带一路;人工智能;AI智能体;家用电器;智能家居;福建自贸区;多模态AI;工业互联网;海峡两岸;智能音箱,603180
28.0,603203.SH,17,先进封装;第三代半导体;OLED;中芯国际概念;存储芯片;共封装光学(CPO);PCB概念;富士康概念;苹果概念;芯片概念;AI眼镜;消费电子概念;无线耳机;汽车电子;智能穿戴;液冷服务器;比亚迪概念;专精特新;机器视觉;新能源汽车;华为概念;宁德时代概念;新型工业化;机器人概念;高端装备;工业互联网;人工智能;沪股通,603203
12.0,300696.SZ,33,成飞概念;航空发动机;军民融合;军工;无人机;大飞机;3D打印;低空经济;创投;西部大开发;融资融券;深股通,300696
9.0,688403.SH,17,先进封装;存储芯片;OLED;汽车芯片;芯片概念;专精特新;人民币贬值受益;沪股通;融资融券,688403
21.0,300578.SZ,33,云办公;Web3.0;AI视频;多模态AI;信创;虚拟数字人;鸿蒙概念;AI应用;国产操作系统;在线教育;元宇宙;空间计算;数字经济;DeepSeek概念;人工智能;东数西算(算力);虚拟现实;华为概念;智能医疗;数据中心(AIDC);5G,300578
5.0,301035.SZ,33,草甘膦;人民币贬值受益;2025年报预增;深股通;融资融券,301035
10.0,002019.SZ,33,维生素;创新药;肝炎概念;流感;合成生物;医药电商;可降解塑料;光伏概念;深股通;融资融券,002019
11.0,300200.SZ,33,光刻胶;有机硅概念;芯片概念;专精特新;OLED;比亚迪概念;光伏概念;新能源汽车;军工;高铁;核电,300200
8.0,300888.SZ,33,医药电商;医美概念;三胎概念;养老概念;跨境电商;医疗器械概念;深股通;融资融券,300888
15.0,000099.SZ,33,旅游概念;数字经济;低空经济;国企改革;飞行汽车(eVTOL);无人机;军工;同花顺新质50;华为概念;粤港澳大湾区;卫星导航;风电;融资融券;深股通;中字头股票,000099
10.0,300247.SZ,33,体育产业;养老概念;跨境电商;医疗器械概念;宠物经济;机器人概念;人民币贬值受益;智能家居;智能医疗;2025年报预增,300247
18.0,688709.SH,17,MCU芯片;汽车芯片;芯片概念;东数西算(算力);量子科技;存储芯片;商业航天;无人驾驶;脑机接口;军工;机器人概念;人工智能;人形机器人;央企国企改革;西部大开发;国企改革;沪股通;融资融券,688709
6.0,600653.SH,17,物业管理;国企改革;人工智能;绿色电力;新能源汽车;融资融券,600653
14.0,688779.SH,17,钠离子电池;动力电池回收;固态电池;锂电池概念;宁德时代概念;储能;高压快充;低空经济;飞行汽车(eVTOL);无人机;国企改革;央企国企改革;融资融券;沪股通,688779
13.0,002850.SZ,33,PEEK材料;减速器;人形机器人;特斯拉概念;比亚迪概念;宁德时代概念;新能源汽车;机器人概念;固态电池;锂电池概念;储能;深股通;融资融券,002850
7.0,600600.SH,17,超级品牌;啤酒概念;证金持股;同花顺漂亮100;国企改革;沪股通;融资融券,600600
40.0,600797.SH,17,华为鲲鹏;数据安全;云计算;智慧政务;信创;ChatGPT概念;国产操作系统;网络安全;鸿蒙概念;数据要素;AI智能体;算力租赁;AI应用;抖音概念(字节概念);区块链;虚拟数字人;在线教育;互联网金融;腾讯概念;阿里巴巴概念;语音技术;蚂蚁集团概念;数字经济;智慧城市;DeepSeek概念;时空大数据;人工智能;东数西算(算力);物联网;智能医疗;华为概念;低空经济;数据中心(AIDC);创投;共同富裕示范区;智能电网;虚拟电厂;芯片概念;融资融券;沪股通,600797
4.0,688718.SH,17,盐湖提锂;污水处理;人民币贬值受益;融资融券,688718
4.0,920505.BJ,151,风电;融资融券;稀土永磁;专精特新,920505
6.0,601166.SH,17,高股息精选;跨境支付(CIPS);沪股通;融资融券;福建自贸区;海峡两岸,601166
5.0,600897.SH,17,国企改革;福建自贸区;海峡两岸;沪股通;融资融券,600897
4.0,600746.SH,17,煤化工概念;国企改革;固废处理;沪股通,600746
12.0,002297.SZ,33,培育钻石;航空发动机;商业航天;大飞机;成飞概念;军民融合;碳纤维;军工;无人机;2026一季报预增;国企改革;融资融券,002297
7.0,601330.SH,17,生物质能发电;绿色电力;固废处理;国企改革;垃圾分类;阿里巴巴概念;沪股通,601330
11.0,605218.SH,17,虚拟现实;元宇宙;长安汽车概念;智能家居;智能座舱;比亚迪概念;汽车电子;消费电子概念;MiniLED;特斯拉概念;OLED,605218
9.0,002962.SZ,33,汽车电子;MR(混合现实);消费电子概念;小米概念;虚拟现实;安防;专精特新;华为概念;人民币贬值受益,002962
6.0,600000.SH,17,高股息精选;证金持股;信托概念;跨境支付(CIPS);沪股通;融资融券,600000
33.0,600410.SH,17,云计算;东数西算(算力);数据中心(AIDC);网络安全;华为鲲鹏;信创;智慧政务;时空大数据;百度概念;阿里巴巴概念;抖音概念(字节概念);腾讯概念;AI智能体;数据要素;军工;AIGC概念;元宇宙;区块链;华为概念;AI应用;智慧城市;安防;工业互联网;DeepSeek概念;人工智能;在线教育;芯片概念;无线耳机;京津冀一体化;创投;一带一路;沪股通;融资融券,600410
8.0,688702.SH,17,国家大基金持股;芯片概念;5G;中国AI 50;数据中心(AIDC);网络安全;沪股通;融资融券,688702
24.0,300052.SZ,33,云游戏;电子竞技;元宇宙;数字孪生;云计算;手机游戏;虚拟数字人;网络安全;虚拟现实;NFT概念;网络游戏;算力租赁;阿里巴巴概念;腾讯概念;数字经济;区块链;DeepSeek概念;华为概念;东数西算(算力);互联网金融;数据中心(AIDC);粤港澳大湾区;旅游概念;摘帽,300052
18.0,002352.SZ,33,超级品牌;统一大市场;冷链物流;同花顺漂亮100;跨境电商;乡村振兴;智能物流;人工智能;区块链;数据要素;机器人概念;AI智能体;低空经济;物联网;无人驾驶;无人机;深股通;融资融券,002352
5.0,920007.BJ,151,新股与次新股;融资融券;一带一路;光伏概念;人民币贬值受益,920007
23.0,688328.SH,17,存储芯片;先进封装;MiniLED;共封装光学(CPO);第三代半导体;芯片概念;OLED;电子纸;柔性屏(折叠屏);消费电子概念;AI眼镜;MR(混合现实);智能穿戴;华为概念;专精特新;虚拟现实;小米概念;机器视觉;新型工业化;锂电池概念;新能源汽车;机器人概念;融资融券,688328
11.0,688223.SH,17,BC电池;TOPCON电池;钙钛矿电池;光伏概念;储能;数据中心(AIDC);DeepSeek概念;人民币贬值受益;同花顺漂亮100;沪股通;融资融券,688223
11.0,600020.SH,17,参股保险;信托概念;参股银行;化债概念(AMC概念);文化传媒概念;国企改革;创投;AI应用;充电桩;沪股通;融资融券,600020
15.0,300586.SZ,33,PCB概念;固态电池;钠离子电池;锂电池概念;芯片概念;染料;宁德时代概念;专精特新;可降解塑料;燃料电池;消毒剂;储能;氢能源;深股通;融资融券,300586
7.0,600928.SH,17,国企改革;西部大开发;跨境支付(CIPS);一带一路;移动支付;沪股通;融资融券,600928
3.0,601860.SH,17,高股息精选;沪股通;融资融券,601860
22.0,002407.SZ,33,氟化工概念;PVDF概念;钠离子电池;固态电池;动力电池回收;锂电池概念;硅能源;比亚迪概念;特斯拉概念;中芯国际概念;新能源汽车;储能;工业互联网;独角兽概念;创投;数字孪生;核电;芯片概念;存储芯片;第三代半导体;融资融券;深股通,002407
6.0,002508.SZ,33,高股息精选;家用电器;DeepSeek概念;人工智能;深股通;融资融券,002508
10.0,301020.SZ,33,专精特新;比亚迪概念;华为汽车;长安汽车概念;新能源汽车;燃料电池;数据中心(AIDC);氢能源;国企改革;融资融券,301020
11.0,603658.SH,17,流感;猴痘概念;幽门螺杆菌概念;基因测序;智能医疗;医疗器械概念;AI应用;DeepSeek概念;人工智能;沪股通;融资融券,603658
3.0,000691.SZ,33,西部大开发;锂电池概念;摘帽,000691
12.0,002061.SZ,33,国企改革;PPP概念;装配式建筑;新型城镇化;一带一路;共同富裕示范区;水利;长三角一体化;人工智能;机器人概念;深股通;融资融券,002061
19.0,002584.SZ,33,光刻胶;消毒剂;氟化工概念;锂电池概念;专精特新;核污染防治;食品安全;粤港澳大湾区;光伏概念;创投;芯片概念;碳中和;磷化工;核电;辅助生殖;煤化工概念;PCB概念;重组蛋白;深股通,002584
16.0,600481.SH,17,硅能源;光热发电;工业互联网;专精特新;高端装备;光伏概念;DeepSeek概念;储能;碳中和;数据中心(AIDC);氢能源;核电;液冷服务器;超超临界发电;融资融券;沪股通,600481
2.0,600791.SH,17,国企改革;京津冀一体化,600791
7.0,001914.SZ,33,物业管理;国企改革;央企国企改革;智慧城市;充电桩;深股通;融资融券,001914
9.0,600597.SH,17,超级品牌;乳业;上海国企改革;冷链物流;三胎概念;国企改革;数字经济;沪股通;融资融券,600597
6.0,300668.SZ,33,ERP概念;数据确权;AIGC概念;华为概念;新型城镇化;股权转让(并购重组),300668
7.0,600830.SH,17,烟草;共同富裕示范区;互联网金融;化债概念(AMC概念);国企改革;融资融券;股权转让(并购重组),600830
4.0,001395.SZ,33,专精特新;高端装备;碳纤维;融资融券,001395
8.0,300146.SZ,33,医药电商;维生素;三胎概念;跨境电商;智能医疗;粤港澳大湾区;深股通;融资融券,300146
12.0,000957.SZ,33,中俄贸易概念;国企改革;人工智能;人民币贬值受益;燃料电池;车联网(车路协同);氢能源;新能源汽车;无人驾驶;汽车电子;深股通;融资融券,000957
11.0,688362.SH,17,先进封装;MCU芯片;芯片概念;消费电子概念;汽车电子;5G;传感器;专精特新;数字货币;沪股通;融资融券,688362
11.0,605116.SH,17,减肥药;创新药;仿制药一致性评价;肝炎概念;CRO概念;医药电商;辅助生殖;合成生物;人民币贬值受益;量子科技;沪股通,605116
16.0,600057.SH,17,统一大市场;玉米;土地流转;农业种植;冷链物流;乡村振兴;国企改革;福建自贸区;一带一路;智能物流;海峡两岸;DeepSeek概念;数据要素;商业航天;沪股通;融资融券,600057
14.0,300889.SZ,33,智慧灯杆;智慧城市;传感器;充电桩;储能;液冷服务器;机器人概念;比亚迪概念;露营经济;新能源汽车;跨境电商;锂电池概念;股权转让(并购重组);融资融券,300889
10.0,601900.SH,17,IP经济(谷子经济);文化传媒概念;高股息精选;参股银行;在线教育;国企改革;AI应用;人工智能;沪股通;融资融券,601900
6.0,603726.SH,17,先进封装;人形机器人;家用电器;机器人概念;空气能热泵;创投,603726
7.0,600618.SH,17,环氧丙烷;消毒剂;氟化工概念;上海国企改革;国企改革;沪股通;融资融券,600618
13.0,600062.SH,17,青蒿素;医药电商;仿制药一致性评价;创新药;减肥药;合成生物;NMN概念;国企改革;智能医疗;央企国企改革;DeepSeek概念;沪股通;融资融券,600062
7.0,603303.SH,17,汽车电子;智慧灯杆;智慧城市;人民币贬值受益;新能源汽车;股权转让(并购重组);沪股通,603303
6.0,688683.SH,17,芯片概念;汽车电子;新能源汽车;粤港澳大湾区;固态电池;融资融券,688683
7.0,603355.SH,17,净水概念;家用电器;人民币贬值受益;机器人概念;新能源汽车;沪股通;融资融券,603355
11.0,300489.SZ,33,第三代半导体;先进封装;核污染防治;新能源汽车;军工;核电;无人驾驶;无人机;氢能源;低空经济;深股通,300489
23.0,688038.SH,17,人脸识别;语音技术;安防;华为欧拉;智慧政务;信创;数据安全;华为鲲鹏;华为概念;智慧城市;车联网(车路协同);机器视觉;数据要素;AI智能体;人工智能;数字经济;AI应用;多模态AI;数字孪生;DeepSeek概念;ERP概念;股权转让(并购重组);融资融券,688038
13.0,300616.SZ,33,空间计算;AI智能体;MR(混合现实);AIGC概念;人工智能;智能家居;虚拟现实;养老概念;小红书概念;机器人概念;智能物流;IP经济(谷子经济);海峡两岸,300616
6.0,600030.SH,17,期货概念;证金持股;同花顺漂亮100;同花顺中特估100;沪股通;融资融券,600030
7.0,002910.SZ,33,网红经济;乳业;乡村振兴;生态农业;宠物经济;西部大开发;国企改革,002910
13.0,600332.SH,17,青蒿素;医药电商;生物疫苗;白酒概念;仿制药一致性评价;流感;创新药;国企改革;医疗器械概念;阿里巴巴概念;沪股通;融资融券;粤港澳大湾区,600332
3.0,603885.SH,17,上海自贸区;沪股通;融资融券,603885
29.0,603679.SH,17,智慧灯杆;东数西算(算力);数据中心(AIDC);物联网;华为概念;换电概念;华为数字能源;充电桩;腾讯概念;储能;智能家居;车联网(车路协同);智慧城市;新能源汽车;无人驾驶;数字孪生;AI智能体;人工智能;锂电池概念;数据要素;智慧政务;低空经济;卫星导航;DeepSeek概念;AI应用;虚拟电厂;创投;虚拟数字人;西部大开发,603679
7.0,603477.SH,17,猪肉;养鸡;西部大开发;AI应用;比亚迪概念;沪股通;融资融券,603477
12.0,300084.SZ,33,可燃冰;页岩气;俄乌冲突概念;天然气;军工;氢能源;海工装备;高端装备;西部大开发;核电;人工智能;股权转让(并购重组),300084
4.0,688057.SH,17,机器人概念;专精特新;污水处理;融资融券,688057
13.0,600075.SH,17,煤化工概念;水泥概念;生态农业;可降解塑料;新疆振兴;碳交易;国企改革;西部大开发;绿色电力;一带一路;储能;沪股通;融资融券,600075
12.0,000423.SZ,33,超级品牌;高股息精选;预制菜;农业种植;旅游概念;乡村振兴;国企改革;央企国企改革;深股通;融资融券;数字经济;华为概念,000423
2.0,603898.SH,17,IP经济(谷子经济);智能家居,603898
12.0,600576.SH,17,旅游概念;冰雪产业;露营经济;IP经济(谷子经济);网络游戏;文化传媒概念;短剧游戏;手机游戏;元宇宙;飞行汽车(eVTOL);低空经济;沪股通,600576
3.0,603697.SH,17,预制菜;西部大开发;沪股通,603697
3.0,600984.SH,17,一带一路;西部大开发;国企改革,600984
6.0,002810.SZ,33,锂电池概念;人民币贬值受益;专精特新;2026一季报预增;融资融券;深股通,002810
13.0,300947.SZ,33,IP经济(谷子经济);租售同权;物业管理;新型城镇化;建筑节能;旅游概念;AI应用;人工智能;ChatGPT概念;元宇宙;DeepSeek概念;空间计算;融资融券,300947
10.0,600757.SH,17,高股息精选;证金持股;IP经济(谷子经济);国企改革;托育服务;文化传媒概念;知识产权保护;在线教育;沪股通;融资融券,600757
4.0,603939.SH,17,医药电商;家庭医生;沪股通;融资融券,603939
36.0,300459.SZ,33,NFT概念;手机游戏;文化传媒概念;网络游戏;知识产权保护;IP经济(谷子经济);快手概念;AIGC概念;在线教育;AI应用;网红经济;ChatGPT概念;元宇宙;多模态AI;鸿蒙概念;云游戏;抖音概念(字节概念);DeepSeek概念;腾讯概念;阿里巴巴概念;人工智能;智能医疗;脑机接口;语音技术;三胎概念;一带一路;虚拟现实;人民币贬值受益;机器人概念;华为概念;东数西算(算力);MR(混合现实);数据中心(AIDC);液冷服务器;深股通;融资融券,300459
13.0,600662.SH,17,上海国企改革;统一大市场;国企改革;职业教育;AI应用;DeepSeek概念;人工智能;AI智能体;财税数字化;智慧政务;云办公;融资融券;沪股通,600662
16.0,002092.SZ,33,煤化工概念;煤炭概念;水泥概念;消毒剂;可降解塑料;新疆振兴;西部大开发;碳中和;国企改革;碳交易;石墨烯;一带一路;跨境电商;职业教育;风电;深股通,002092
3.0,000802.SZ,33,文化传媒概念;IP经济(谷子经济);旅游概念,000802
7.0,301322.SZ,33,中芯国际概念;先进封装;芯片概念;新能源汽车;人民币贬值受益;动力电池回收;融资融券,301322
13.0,000550.SZ,33,智能物流;国企改革;长安汽车概念;华为汽车;央企国企改革;燃料电池;百度概念;车联网(车路协同);无人驾驶;新能源汽车;深股通;融资融券;汽车电子,000550
5.0,000776.SZ,33,期货概念;证金持股;同花顺漂亮100;深股通;融资融券,000776
5.0,600285.SH,17,高股息精选;芬太尼;创新药;沪股通;融资融券,600285
11.0,001965.SZ,33,同花顺中特估100;参股券商;PPP概念;国企改革;京津冀一体化;央企国企改革;土壤修复;数据要素;智慧城市;深股通;融资融券,001965
8.0,301235.SZ,33,芯片概念;专精特新;2025年报预增;人工智能;智能医疗;医疗器械概念;辅助生殖;融资融券,301235
7.0,300601.SZ,33,生物疫苗;肝炎概念;流感;创新药;合成生物;深股通;融资融券,300601
6.0,002926.SZ,33,期货概念;国企改革;西部大开发;2025年报预增;融资融券;深股通,002926
9.0,688209.SH,17,汽车芯片;芯片概念;消费电子概念;小米概念;无线耳机;专精特新;脑机接口;沪股通;融资融券,688209
3.0,002958.SZ,33,高股息精选;深股通;融资融券,002958
6.0,688398.SH,17,专精特新;家用电器;福建自贸区;新能源汽车;冷链物流;融资融券,688398
