market_code,股票代码,code,所属概念数量,所属概念
33,001306.SZ,001306,13,减速器;人形机器人;工业母机;新能源汽车;比亚迪概念;机器人概念;专精特新;家用电器;智能家居;安防;共同富裕示范区;深股通;融资融券
33,300019.SZ,300019,25,有机硅概念;锂电池概念;固态电池;宁德时代概念;硅能源;比亚迪概念;芯片概念;新能源汽车;光伏概念;小米概念;高铁;可控核聚变;5G;核电;军工;无人机;长安汽车概念;水利;商业航天;特高压;装配式建筑;雄安新区;西部大开发;深股通;融资融券
17,603004.SH,603004,6,专精特新;人民币贬值受益;染料;商业航天;沪股通;融资融券
33,002893.SZ,002893,5,碳交易;碳中和;建筑节能;京津冀一体化;国企改革
33,301517.SZ,301517,21,军工信息化;太赫兹;卫星导航;商业航天;军民融合;6G概念;军工;无人机;量子科技;毫米波雷达;华为概念;5G;华为海思概念股;消费电子概念;光纤概念;西部大开发;铜缆高速连接;国企改革;共封装光学(CPO);深股通;融资融券
151,920242.BJ,920242,12,传感器;新能源汽车;毫米波雷达;机器人概念;一带一路;汽车拆解概念;融资融券;特斯拉概念;跨境电商;人民币贬值受益;汽车电子;无人驾驶
17,603348.SH,603348,10,一体化压铸;两轮车;机器人概念;华为汽车;新能源汽车;比亚迪概念;飞行汽车(eVTOL);特斯拉概念;融资融券;沪股通
33,000807.SZ,000807,10,俄乌冲突概念;央企国企改革;国企改革;西部大开发;碳交易;深股通;融资融券;燃料电池;工业互联网;新能源汽车
17,600729.SH,600729,12,IP经济(谷子经济);互联网金融;养老概念;人工智能;证金持股;西部大开发;回购增持再贷款概念;机器人概念;小米汽车;沪股通;融资融券;黄金概念
33,002928.SZ,002928,4,2025年报预增;西部大开发;融资融券;深股通
33,002990.SZ,002990,28,语音技术;鸿蒙概念;信创;人脸识别;智慧政务;安防;网络安全;车联网(车路协同);AIGC概念;物联网;数字经济;人工智能;华为昇腾;智慧城市;DeepSeek概念;多模态AI;华为概念;机器视觉;无人驾驶;机器人概念;传感器;人形机器人;芯片概念;存储芯片;冷链物流;核污染防治;一带一路;深股通
17,603100.SH,603100,14,商业航天;高端装备;工业互联网;物联网;新型工业化;核电;可控核聚变;光热发电;央企国企改革;西部大开发;国企改革;碳中和;沪股通;融资融券
33,002737.SZ,002737,9,医药电商;流感;创新药;肝炎概念;三胎概念;维生素;黑龙江自贸区;深股通;融资融券
17,688529.SH,688529,20,新型工业化;比亚迪概念;小米汽车;长安汽车概念;机器视觉;新能源汽车;机器人概念;人形机器人;小米概念;特斯拉概念;华为概念;智能物流;高端装备;燃料电池;人工智能;锂电池概念;固态电池;DeepSeek概念;氢能源;融资融券
17,600219.SH,600219,13,金属回收;锂电池概念;高股息精选;证金持股;一带一路;宁德时代概念;高铁;沪股通;融资融券;大飞机;人民币贬值受益;新能源汽车;机器人概念
33,002646.SZ,002646,7,白酒概念;虚拟数字人;乡村振兴;粮食概念;西部大开发;融资融券;深股通
17,600386.SH,600386,10,物业管理;京津冀一体化;国企改革;文化传媒概念;独角兽概念;汽车拆解概念;充电桩;新能源汽车;动力电池回收;融资融券
17,600067.SH,600067,16,参股银行;海峡两岸;储能;福建自贸区;长安汽车概念;新能源汽车;氢能源;比亚迪概念;锂电池概念;机器人概念;创投;两轮车;人形机器人;无人机;融资融券;股权转让(并购重组)
33,002523.SZ,002523,19,军工;海工装备;核电;水利;工业互联网;机器人概念;华为概念;人工智能;雅下水电概念;一带一路;风电;体育产业;回购增持再贷款概念;固废处理;国企改革;2025年报预增;冰雪产业;深股通;融资融券
33,301197.SZ,301197,13,专精特新;新型城镇化;建筑节能;智慧城市;华为概念;人工智能;雄安新区;信创;数据要素;华为鲲鹏;回购增持再贷款概念;蚂蚁集团概念;融资融券
33,300159.SZ,300159,20,商业航天;卫星导航;大飞机;航空发动机;军民融合;军工;无人机;可控核聚变;成飞概念;低空经济;海工装备;核电;专精特新;农机;ST板块;国企改革;西部大开发;股权转让(并购重组);乡村振兴;新疆振兴
17,600657.SH,600657,9,物业管理;参股保险;证金持股;化债概念(AMC概念);国企改革;央企国企改革;沪股通;股权转让(并购重组);融资融券
17,600718.SH,600718,43,DRG/DIP;财税数字化;AIGC概念;AI智能体;数据要素;智慧政务;区块链;云计算;百度概念;华为昇腾;数据安全;信创;DeepSeek概念;互联网金融;数字货币;网络安全;抖音概念(字节概念);数字经济;智能医疗;人工智能;智慧城市;独角兽概念;车联网(车路协同);东数西算(算力);中国AI 50;华为概念;养老概念;AI应用;食品安全;工业互联网;无人驾驶;机器人概念;智能座舱;医疗器械概念;5G;参股保险;长安汽车概念;比亚迪概念;汽车电子;虚拟电厂;新能源汽车;融资融券;沪股通
17,603357.SH,603357,18,地下管网;新型城镇化;雄安新区;国企改革;水利;一带一路;智慧城市;人工智能;DeepSeek概念;车联网(车路协同);空间计算;数据要素;低空经济;算力租赁;云计算;量子科技;沪股通;融资融券
33,000050.SZ,000050,21,MicroLED概念;电子纸;MiniLED;柔性屏(折叠屏);OLED;虚拟现实;智能穿戴;智能座舱;消费电子概念;华为概念;小米概念;苹果概念;芯片概念;汽车电子;智能家居;回购增持再贷款概念;央企国企改革;国企改革;碳中和;深股通;融资融券
17,688382.SH,688382,3,创新药;沪股通;融资融券
17,600229.SH,600229,13,文化传媒概念;IP经济(谷子经济);短剧游戏;在线教育;AIGC概念;数据要素;独角兽概念;人工智能;多模态AI;虚拟现实;国企改革;融资融券;沪股通
33,000952.SZ,000952,6,肝炎概念;流感;仿制药一致性评价;合成生物;维生素;国企改革
33,301016.SZ,301016,5,无人驾驶;高铁;高端装备;一带一路;融资融券
17,600173.SH,600173,17,黄金概念;金属锌;金属铅;金属铜;稀土永磁;物业管理;IP经济(谷子经济);绿色电力;手机游戏;锂电池概念;网络游戏;风电;氢能源;储能;机器人概念;沪股通;股权转让(并购重组)
33,002635.SZ,002635,34,柔性屏(折叠屏);MR(混合现实);MiniLED;消费电子概念;汽车电子;苹果概念;5G;智能穿戴;小米概念;传感器;虚拟现实;智能音箱;智能家居;OLED;海峡两岸;新能源汽车;无线耳机;华为概念;机器人概念;无线充电;人民币贬值受益;无人机;充电桩;同花顺果指数;特斯拉概念;高压快充;元宇宙;长三角一体化;储能;燃料电池;一带一路;氢能源;深股通;融资融券
17,603193.SH,603193,5,三胎概念;跨境电商;C2M概念;沪股通;融资融券
17,600706.SH,600706,8,体育产业;IP经济(谷子经济);旅游概念;露营经济;职业教育;数字经济;西部大开发;国企改革
17,600616.SH,600616,4,网红经济;上海国企改革;国企改革;融资融券
151,920469.BJ,920469,9,碳纤维;比亚迪概念;粤港澳大湾区;专精特新;新能源汽车;机器人概念;融资融券;PEEK材料;消费电子概念
33,002538.SZ,002538,13,磷化工;化肥;金属铅;金属锌;金属铜;农村电商;生态农业;黄金概念;乡村振兴;民营医院;工业互联网;融资融券;深股通
33,301080.SZ,301080,8,猴痘概念;重组蛋白;细胞免疫治疗;人民币贬值受益;人工智能;专精特新;深股通;融资融券
17,603768.SH,603768,7,长安汽车概念;华为汽车;一体化压铸;新能源汽车;比亚迪概念;锂电池概念;宁德时代概念
151,920436.BJ,920436,6,新能源汽车;无人驾驶;融资融券;专精特新;充电桩;百度概念
17,688410.SH,688410,6,2025年报预增;医疗器械概念;专精特新;智能医疗;西部大开发;融资融券
17,603725.SH,603725,7,装配式建筑;长安汽车概念;专精特新;新能源汽车;比亚迪概念;机器人概念;创投
33,002441.SZ,002441,13,智能电网;风电;充电桩;核电;新能源汽车;机器人概念;数据中心;物联网;宁德时代概念;数字经济;职业教育;深股通;融资融券
33,000517.SZ,000517,5,物业管理;建筑节能;长三角一体化;深股通;融资融券
33,300194.SZ,300194,10,流感;仿制药一致性评价;幽门螺杆菌概念;肝炎概念;创新药;猴痘概念;参股银行;西部大开发;深股通;融资融券
17,600020.SH,600020,12,信托概念;参股保险;参股银行;国企改革;化债概念(AMC概念);回购增持再贷款概念;创投;充电桩;文化传媒概念;AI应用;沪股通;融资融券
33,002923.SZ,002923,10,青蒿素;合成生物;医疗器械概念;仿制药一致性评价;创新药;医药电商;肝炎概念;流感;猴痘概念;幽门螺杆菌概念
33,002998.SZ,002998,0,
151,920717.BJ,920717,2,天然气;融资融券
17,603326.SH,603326,2,智能家居;工业互联网
33,002179.SZ,002179,38,大飞机;成飞概念;商业航天;军民融合;卫星导航;国产航母;军工;6G概念;无人机;低空经济;可控核聚变;量子科技;核电;铜缆高速连接;5G;换电概念;光纤概念;车联网(车路协同);充电桩;无人驾驶;机器人概念;数据中心;光伏概念;华为概念;专精特新;新能源汽车;储能;特斯拉概念;比亚迪概念;智能电网;芯片概念;高压快充;液冷服务器;共封装光学(CPO);国企改革;深股通;融资融券;中字头股票
33,002363.SZ,002363,10,商业航天;军工;长安汽车概念;特斯拉概念;华为汽车;新能源汽车;比亚迪概念;华为概念;数字经济;百度概念
33,300498.SZ,300498,9,养鸡;猪肉;预制菜;禽流感;乡村振兴;基因测序;深股通;融资融券;回购增持再贷款概念
33,300009.SZ,300009,14,生物疫苗;流感;肝炎概念;创新药;辅助生殖;仿制药一致性评价;细胞免疫治疗;基因测序;民营医院;医疗器械概念;智能医疗;人工智能;深股通;融资融券
17,603222.SH,603222,8,细胞免疫治疗;民营医院;医美概念;医疗器械概念;幽门螺杆菌概念;创新药;回购增持再贷款概念;融资融券
33,000721.SZ,000721,6,预制菜;职业教育;独角兽概念;西部大开发;国企改革;深股通
33,300272.SZ,300272,13,细胞免疫治疗;基因测序;辅助生殖;宠物经济;养老概念;净水概念;数据要素;医美概念;独角兽概念;家用电器;人民币贬值受益;机器人概念;冷链物流
33,300679.SZ,300679,16,无人驾驶;人形机器人;小米概念;消费电子概念;比亚迪概念;新能源汽车;柔性屏(折叠屏);5G;新型烟草(电子烟);物联网;华为概念;PCB概念;无人机;数据中心;深股通;融资融券
33,000790.SZ,000790,12,流感;医药电商;装配式建筑;合成生物;创新药;医美概念;眼科医疗;医疗器械概念;西部大开发;锂电池概念;氟化工概念;融资融券
17,600528.SH,600528,17,污水处理;证金持股;国企改革;地下管网;回购增持再贷款概念;央企国企改革;高铁;抽水蓄能;海工装备;高端装备;工业互联网;机器人概念;人工智能;DeepSeek概念;沪股通;融资融券;中字头股票
33,300326.SZ,300326,3,ST板块;医疗器械概念;专精特新
17,600688.SH,600688,9,航运概念;央企国企改革;氢能源;碳交易;国企改革;沪股通;融资融券;燃料电池;碳纤维
33,003033.SZ,003033,6,比亚迪概念;长安汽车概念;机器人概念;农机;专精特新;数字经济
17,600327.SH,600327,6,民营医院;预制菜;三胎概念;参股银行;IP经济(谷子经济);信托概念
33,000031.SZ,000031,8,物业管理;证金持股;新型城镇化;国企改革;央企国企改革;粤港澳大湾区;深股通;融资融券
33,002438.SZ,002438,15,可控核聚变;海工装备;核电;航空发动机;军工;商业航天;芯片概念;无人机;军民融合;燃料电池;风电;氢能源;超超临界发电;深股通;融资融券
33,300149.SZ,300149,11,智能医疗;DeepSeek概念;CRO概念;细胞免疫治疗;重组蛋白;创新药;AI应用;人民币贬值受益;深股通;股权转让(并购重组);融资融券
33,301211.SZ,301211,7,流感;肝炎概念;仿制药一致性评价;CRO概念;维生素;深股通;融资融券
151,920271.BJ,920271,4,低空经济;融资融券;人民币贬值受益;汽车热管理
33,001222.SZ,001222,6,宠物经济;跨境电商;共同富裕示范区;IP经济(谷子经济);人民币贬值受益;一带一路
33,300470.SZ,300470,17,军工;海工装备;水利;核电;商业航天;专精特新;机器人概念;新能源汽车;西部大开发;国企改革;储能;氢能源;绿色电力;氟化工概念;天然气;煤化工概念;深股通
17,605088.SH,605088,11,华为汽车;机器人概念;人民币贬值受益;人形机器人;新能源汽车;储能;DeepSeek概念;回购增持再贷款概念;固态电池;锂电池概念;沪股通
33,002084.SZ,002084,10,装配式建筑;空气能热泵;智能物流;智能家居;一带一路;海峡两岸;人民币贬值受益;回购增持再贷款概念;物联网;3D打印
33,300771.SZ,300771,12,无人零售;人脸识别;无人驾驶;智慧城市;物联网;智能物流;冷链物流;创投;机器人概念;换电概念;2025年报预增;智能医疗
17,605108.SH,605108,3,预制菜;网红经济;沪股通
17,600016.SH,600016,4,高股息精选;跨境支付(CIPS);沪股通;融资融券
33,002397.SZ,002397,5,C2M概念;智能家居;三胎概念;网红经济;IP经济(谷子经济)
17,603059.SH,603059,4,跨境电商;三胎概念;人民币贬值受益;参股银行
17,603955.SH,603955,9,雄安新区;碳中和;宠物经济;新型城镇化;PPP概念;机器人概念;旅游概念;特色小镇;股权转让(并购重组)
33,301285.SZ,301285,10,新能源汽车;光伏概念;芯片概念;消费电子概念;3D打印;小米概念;智能穿戴;华为概念;深股通;融资融券
33,002286.SZ,002286,5,代糖概念;合成生物;参股银行;中俄贸易概念;三胎概念
33,001220.SZ,001220,5,注册制次新股;智能物流;京津冀一体化;新股与次新股;融资融券
33,002246.SZ,002246,11,军民融合;军工;核电;商业航天;核污染防治;专精特新;垃圾分类;西部大开发;国企改革;深股通;融资融券
17,600104.SH,600104,24,超级品牌;证金持股;同花顺漂亮100;参股银行;上海国企改革;足球概念;网约车;国企改革;沪股通;融资融券;动力电池回收;华为汽车;燃料电池;换电概念;一带一路;独角兽概念;固态电池;新能源汽车;DeepSeek概念;无人驾驶;车联网(车路协同);宁德时代概念;华为概念;2025年报预增
33,002224.SZ,002224,6,工业大麻;农机;体育产业;储能;回购增持再贷款概念;机器人概念
17,605050.SH,605050,6,统一大市场;回购增持再贷款概念;一体化压铸;新能源汽车;机器人概念;沪股通
17,605376.SH,605376,11,金属镍;小金属概念;硅能源;3D打印;光伏概念;锂电池概念;2025年报预增;人民币贬值受益;专精特新;融资融券;沪股通
33,002022.SZ,002022,7,猴痘概念;流感;肝炎概念;宠物经济;医疗器械概念;食品安全;智能医疗
33,301603.SZ,301603,13,PCB概念;工业母机;柔性屏(折叠屏);新型工业化;新能源汽车;人形机器人;专精特新;机器人概念;2025年报预增;粤港澳大湾区;军工;深股通;融资融券
33,300834.SZ,300834,3,粤港澳大湾区;专精特新;融资融券
17,603159.SH,603159,2,特斯拉概念;汽车电子
33,002669.SZ,002669,27,PCB概念;碳纤维;先进封装;消费电子概念;毫米波雷达;新能源汽车;专精特新;芯片概念;军工;高铁;传感器;商业航天;机器人概念;锂电池概念;军民融合;低空经济;一带一路;5G;光伏概念;卫星导航;回购增持再贷款概念;风电;MCU芯片;军工信息化;华为概念;国企改革;数字经济
33,300709.SZ,300709,13,柔性屏(折叠屏);消费电子概念;AI眼镜;液冷服务器;无线耳机;智能穿戴;特斯拉概念;比亚迪概念;智能音箱;机器人概念;减速器;深股通;融资融券
33,000869.SZ,000869,5,超级品牌;旅游概念;国企改革;深股通;融资融券
17,688505.SH,688505,3,创新药;沪股通;融资融券
33,002748.SZ,002748,5,锂电池概念;消毒剂;染料;2025年报预增;摘帽
33,002615.SZ,002615,16,露营经济;智能家居;人民币贬值受益;一带一路;共同富裕示范区;星闪概念;华为概念;跨境电商;体育产业;回购增持再贷款概念;三胎概念;数字经济;网红经济;鸿蒙概念;IP经济(谷子经济);NFT概念
17,600502.SH,600502,25,PPP概念;装配式建筑;新疆振兴;污水处理;国企改革;同花顺中特估100;新型城镇化;乡村振兴;物业管理;雄安新区;土壤修复;绿色电力;房屋检测;建筑节能;一带一路;水利;光伏建筑一体化;雅下水电概念;回购增持再贷款概念;抽水蓄能;数字经济;智能电网;低空经济;沪股通;融资融券
33,300446.SZ,300446,24,军民融合;军工;海工装备;高端装备;无人驾驶;机器视觉;高铁;小米汽车;华为概念;智能座舱;华为汽车;芯片概念;小米概念;专精特新;比亚迪概念;长安汽车概念;新能源汽车;央企国企改革;PCB概念;国企改革;民爆概念;光刻胶;页岩气;深股通
33,002992.SZ,002992,15,AI眼镜;消费电子概念;智能穿戴;小米概念;MiniLED;PET铜箔;智能座舱;比亚迪概念;虚拟现实;无人机;新能源汽车;华为概念;固态电池;锂电池概念;深股通
17,603329.SH,603329,8,统一大市场;长三角一体化;一带一路;上海自贸区;国企改革;自由贸易港;新疆振兴;融资融券
17,601233.SH,601233,7,长三角一体化;回购增持再贷款概念;煤炭概念;2025年报预增;互联网金融;沪股通;融资融券
17,603166.SH,603166,12,减速器;人形机器人;新能源汽车;比亚迪概念;机器人概念;农机;专精特新;2025年报预增;西部大开发;AI应用;融资融券;沪股通
33,000759.SZ,000759,15,免税店;预制菜;跨境电商;冷链物流;统一大市场;IP经济(谷子经济);智能物流;乡村振兴;农业种植;国企改革;腾讯概念;抖音概念(字节概念);可降解塑料;一带一路;深股通
33,002162.SZ,002162,14,牙科医疗;海峡两岸;职业教育;人工智能;智能医疗;养老概念;三胎概念;机器人概念;创投;民营医院;辅助生殖;参股保险;物业管理;租售同权
33,002650.SZ,002650,1,ST板块
33,301206.SZ,301206,8,代糖概念;合成生物;专精特新;人民币贬值受益;新型工业化;绿色电力;深股通;融资融券
17,600161.SH,600161,5,肝炎概念;国企改革;央企国企改革;沪股通;融资融券
151,920123.BJ,920123,4,融资融券;医美概念;合成生物;DeepSeek概念
17,688101.SH,688101,12,净水概念;污水处理;锂电池概念;石墨烯;海峡两岸;核污染防治;西部大开发;代糖概念;福建自贸区;盐湖提锂;沪股通;融资融券
33,002345.SZ,002345,7,黄金概念;小金属概念;IP经济(谷子经济);2025年报预增;NFT概念;培育钻石;深股通
17,603089.SH,603089,5,新能源汽车;比亚迪概念;机器人概念;专精特新;人民币贬值受益
33,002236.SZ,002236,57,星闪概念;智能座舱;机器视觉;车联网(车路协同);安防;虚拟现实;物联网;智能家居;无人驾驶;机器人概念;传感器;人脸识别;工业互联网;汽车电子;毫米波雷达;新型工业化;鸿蒙概念;人工智能;低空经济;智慧城市;智慧灯杆;数字孪生;DeepSeek概念;5G;无人机;信创;数字经济;网络安全;智能物流;东数西算(算力);数据要素;AI智能体;华为昇腾;数据安全;数据中心;时空大数据;OLED;华为鲲鹏;人民币贬值受益;MiniLED;多模态AI;MicroLED概念;云计算;卫星导航;网约车;充电桩;水利;海工装备;养老概念;存储芯片;智能电网;乡村振兴;PPP概念;AI应用;证金持股;深股通;融资融券
33,301520.SZ,301520,7,CRO概念;创新药;减肥药;仿制药一致性评价;食品安全;DeepSeek概念;融资融券
17,600151.SH,600151,14,军民融合;军工;TOPCON电池;比亚迪概念;央企国企改革;光伏概念;汽车热管理;上海自贸区;新能源汽车;人民币贬值受益;国企改革;绿色电力;融资融券;沪股通
33,003011.SZ,003011,5,共同富裕示范区;长三角一体化;人民币贬值受益;回购增持再贷款概念;2025年报预增
17,688686.SH,688686,10,传感器;机器视觉;机器人概念;苹果概念;粤港澳大湾区;AI应用;锂电池概念;光伏建筑一体化;融资融券;沪股通
17,600367.SH,600367,8,小金属概念;西部大开发;钠离子电池;国企改革;固态电池;锂电池概念;沪股通;融资融券
17,603758.SH,603758,8,长安汽车概念;新能源汽车;人形机器人;传感器;消费电子概念;西部大开发;沪股通;融资融券
17,603896.SH,603896,9,农业种植;维生素;医药电商;工业大麻;旅游概念;养老概念;工业互联网;数字经济;沪股通
33,300419.SZ,300419,23,网络安全;智慧政务;云计算;数据安全;华为欧拉;信创;东数西算(算力);数据要素;百度概念;物联网;DeepSeek概念;AI智能体;互联网金融;人工智能;抖音概念(字节概念);量子科技;快手概念;华为概念;数据中心;ST板块;军工;AI应用;股权转让(并购重组)
33,301371.SZ,301371,10,网红经济;医美概念;医药电商;合成生物;重组蛋白;医疗器械概念;黑龙江自贸区;NMN概念;深股通;融资融券
17,603788.SH,603788,6,小米汽车;医疗器械概念;新能源汽车;比亚迪概念;特斯拉概念;小米概念
33,002909.SZ,002909,22,有机硅概念;液冷服务器;消费电子概念;高铁;比亚迪概念;5G;新能源汽车;储能;新型城镇化;粤港澳大湾区;装配式建筑;光伏概念;雄安新区;回购增持再贷款概念;跨境电商;碳中和;一带一路;飞行汽车(eVTOL);两轮车;低空经济;硅能源;融资融券
33,300748.SZ,300748,14,稀土永磁;2025三季报预增;人形机器人;特斯拉概念;回购增持再贷款概念;低空经济;比亚迪概念;机器人概念;新能源汽车;2025年报预增;风电;绿色电力;融资融券;深股通
33,002500.SZ,002500,6,证金持股;国企改革;互联网金融;创投;深股通;融资融券
17,603116.SH,603116,2,C2M概念;跨境电商
33,300972.SZ,300972,10,乳业;土地流转;海峡两岸;农业种植;2025年报预增;乡村振兴;IP经济(谷子经济);股权转让(并购重组);深股通;融资融券
33,002330.SZ,002330,8,预制菜;猪肉;宠物经济;冷链物流;乡村振兴;网红经济;回购增持再贷款概念;绿色电力
33,301087.SZ,301087,19,脑机接口;血氧仪;智能医疗;猴痘概念;养老概念;阿里巴巴概念;DeepSeek概念;幽门螺杆菌概念;医疗器械概念;腾讯概念;流感;医药电商;合成生物;重组蛋白;跨境电商;专精特新;高股息精选;融资融券;深股通
33,002823.SZ,002823,11,新能源汽车;汽车热管理;比亚迪概念;特斯拉概念;燃料电池;机器人概念;人民币贬值受益;无人驾驶;锂电池概念;风电;深股通
17,601827.SH,601827,11,生物质能发电;医疗废物处理;绿色电力;固废处理;PPP概念;污水处理;垃圾分类;国企改革;西部大开发;储能;沪股通
33,002627.SZ,002627,6,特色小镇;旅游概念;统一大市场;养老概念;国企改革;NFT概念
151,920122.BJ,920122,7,央企国企改革;跨境电商;融资融券;国企改革;中字头股票;三胎概念;京津冀一体化
33,300214.SZ,300214,8,丙烯酸;专精特新;数据中心;液冷服务器;东数西算(算力);新疆振兴;DeepSeek概念;算力租赁
33,000798.SZ,000798,6,预制菜;人工智能;参股保险;国企改革;央企国企改革;中字头股票
17,600668.SH,600668,10,仿制药一致性评价;眼科医疗;医药电商;创新药;国企改革;猴痘概念;水泥概念;核电;2025年报预增;融资融券
17,603801.SH,603801,4,智能家居;工业互联网;阿里巴巴概念;沪股通
22,603377.SH,603377,4,ST板块;虚拟现实;职业教育;人工智能
33,301325.SZ,301325,20,钙钛矿电池;光伏概念;固态电池;宁德时代概念;OLED;锂电池概念;比亚迪概念;芯片概念;先进封装;燃料电池;专精特新;消费电子概念;传感器;储能;机器人概念;氢能源;粤港澳大湾区;物联网;深股通;融资融券
33,002226.SZ,002226,21,民爆概念;新疆振兴;央企国企改革;国企改革;雅下水电概念;一带一路;绿色电力;风电;水利;创投;军工;工业互联网;军民融合;独角兽概念;专精特新;新能源汽车;人工智能;比亚迪概念;多模态AI;AI语料;深股通
17,600653.SH,600653,6,物业管理;国企改革;人工智能;绿色电力;新能源汽车;融资融券
17,600162.SH,600162,6,民营医院;养老概念;京津冀一体化;粤港澳大湾区;沪股通;融资融券
33,001395.SZ,001395,4,专精特新;高端装备;碳纤维;融资融券
33,000623.SZ,000623,16,农业种植;参股券商;维生素;医药电商;流感;幽门螺杆菌概念;创新药;回购增持再贷款概念;肝炎概念;乡村振兴;三胎概念;创投;网红经济;工业互联网;深股通;融资融券
33,000558.SZ,000558,13,冰雪产业;旅游概念;体育产业;文化传媒概念;电子竞技;短剧游戏;创投;租售同权;PPP概念;国企改革;西部大开发;深股通;融资融券
33,002643.SZ,002643,16,光刻胶;OLED;芯片概念;固态电池;锂电池概念;钙钛矿电池;PEEK材料;燃料电池;人民币贬值受益;回购增持再贷款概念;供销社;国企改革;仿制药一致性评价;肝炎概念;深股通;融资融券
33,002242.SZ,002242,7,净水概念;家用电器;智能家居;证金持股;机器人概念;深股通;融资融券
33,002472.SZ,002472,11,减速器;新能源汽车;比亚迪概念;机器人概念;高端装备;智能家居;高铁;创投;绿色电力;融资融券;深股通
17,688333.SH,688333,19,卫星导航;商业航天;航空发动机;大飞机;军工;低空经济;无人机;飞行汽车(eVTOL);3D打印;核电;AI手机;机器人概念;人形机器人;消费电子概念;西部大开发;回购增持再贷款概念;2025年报预增;沪股通;融资融券
33,000901.SZ,000901,28,卫星导航;商业航天;军民融合;军工;无人机;车联网(车路协同);无人驾驶;智慧城市;数字孪生;传感器;物联网;智能座舱;工业互联网;京津冀一体化;央企国企改革;智能物流;汽车电子;黑龙江自贸区;新能源汽车;中俄贸易概念;一带一路;智能电网;国企改革;人民币贬值受益;2025年报预增;俄乌冲突概念;深股通;融资融券
17,600623.SH,600623,17,煤化工概念;丙烯酸;PVDF概念;氟化工概念;新疆振兴;消毒剂;锂电池概念;回购增持再贷款概念;国企改革;参股券商;芯片概念;沪股通;上海国企改革;创投;DeepSeek概念;超级品牌;融资融券
33,002412.SZ,002412,9,幽门螺杆菌概念;医药电商;流感;仿制药一致性评价;肝炎概念;创新药;参股银行;农业种植;融资融券
33,301326.SZ,301326,14,富士康概念;液冷服务器;苹果概念;消费电子概念;芯片概念;比亚迪概念;3D打印;无人机;宁德时代概念;人民币贬值受益;锂电池概念;固态电池;深股通;融资融券
33,300584.SZ,300584,9,辅助生殖;固态电池;仿制药一致性评价;幽门螺杆菌概念;肝炎概念;创新药;猴痘概念;锂电池概念;深股通
17,603286.SH,603286,15,人形机器人;长安汽车概念;新型工业化;传感器;智能座舱;机器人概念;比亚迪概念;新能源汽车;无人驾驶;汽车电子;智能家居;工业互联网;专精特新;芯片概念;PM2.5
33,003013.SZ,003013,21,装配式建筑;地下管网;新型城镇化;乡村振兴;雄安新区;PPP概念;国企改革;水利;一带一路;粤港澳大湾区;智慧城市;数字经济;数字孪生;人工智能;低空经济;物联网;时空大数据;无人机;腾讯概念;数据中心;深股通
17,601003.SH,601003,5,国企改革;西部大开发;养老概念;沪股通;融资融券
33,000548.SZ,000548,3,物业管理;乡村振兴;国企改革
17,600990.SH,600990,22,国产航母;军民融合;大飞机;商业航天;军工信息化;卫星导航;军工;可控核聚变;低空经济;毫米波雷达;核电;量子科技;安防;央企国企改革;水利;比亚迪概念;新能源汽车;DeepSeek概念;国企改革;PCB概念;沪股通;融资融券
151,920418.BJ,920418,9,商业航天;减速器;机器人概念;专精特新;新能源汽车;国企改革;融资融券;军民融合;军工
33,300813.SZ,300813,5,细胞免疫治疗;医疗器械概念;食品安全;共同富裕示范区;机器人概念
17,600315.SH,600315,6,三胎概念;跨境电商;合成生物;消毒剂;沪股通;融资融券
17,605136.SH,605136,7,拼多多概念;网红经济;抖音概念(字节概念);跨境电商;三胎概念;创投;乡村振兴
17,605118.SH,605118,15,虚拟现实;人工智能;无人机;安防;海峡两岸;机器视觉;富士康概念;AI眼镜;专精特新;机器人概念;消费电子概念;人民币贬值受益;福建自贸区;智能座舱;沪股通
33,300601.SZ,300601,7,生物疫苗;流感;肝炎概念;创新药;合成生物;深股通;融资融券
17,688443.SH,688443,4,创新药;西部大开发;沪股通;融资融券
33,002743.SZ,002743,5,装配式建筑;新型城镇化;雄安新区;PPP概念;可控核聚变
33,300174.SZ,300174,7,超级电容;储能;PM2.5;海峡两岸;股权转让(并购重组);深股通;融资融券
33,002351.SZ,002351,14,跨境电商;星闪概念;人工智能;语音技术;电子竞技;智能音箱;智能医疗;阿里巴巴概念;医疗器械概念;智能穿戴;无线耳机;消费电子概念;融资融券;深股通
33,300849.SZ,300849,1,可降解塑料
33,000504.SZ,000504,9,ST板块;污水处理;细胞免疫治疗;国企改革;CRO概念;动力电池回收;锂电池概念;智慧灯杆;股权转让(并购重组)
17,605208.SH,605208,12,减速器;人形机器人;一体化压铸;新能源汽车;汽车热管理;长安汽车概念;机器人概念;比亚迪概念;金属回收;一带一路;2025年报预增;融资融券
17,603328.SH,603328,15,PCB概念;共封装光学(CPO);苹果概念;5G;汽车电子;毫米波雷达;比亚迪概念;机器人概念;华为概念;人民币贬值受益;光伏概念;国企改革;证金持股;沪股通;融资融券
17,605567.SH,605567,6,人造肉;预制菜;冷链物流;养鸡;中韩自贸区;2025年报预增
33,002370.SZ,002370,8,肝炎概念;猴痘概念;幽门螺杆菌概念;仿制药一致性评价;创新药;2025年报预增;股权转让(并购重组);融资融券
33,000026.SZ,000026,6,央企国企改革;国企改革;机器人概念;减速器;智能穿戴;深股通
