股票代码,所属概念,所属概念数量,market_code,code
601985.SH,中字头股票;同花顺中特估100;绿色电力;央企国企改革;证金持股;风电;国企改革;核电;可控核聚变;储能;DeepSeek概念;光伏概念;机器人概念;钙钛矿电池;沪股通;融资融券,16,17,601985
002508.SZ,DeepSeek概念;人工智能;家用电器;深股通;融资融券,5,33,002508
002082.SZ,阿尔茨海默概念;共同富裕示范区;医疗器械概念;仿制药一致性评价;创新药;肝炎概念;生物疫苗;流感;一带一路;医药电商;深股通,11,33,002082
600873.SH,代糖概念;维生素;合成生物;参股银行;生物疫苗;西部大开发;融资融券;沪股通,8,17,600873
300177.SZ,卫星导航;时空大数据;无人机;低空经济;车联网(车路协同);飞行汽车(eVTOL);无人驾驶;智慧城市;数字孪生;虚拟现实;DeepSeek概念;百度概念;华为概念;机器人概念;3D打印;智能物流;5G;海工装备;高铁;创投;人形机器人;汽车电子;芯片概念;水利;专精特新;粤港澳大湾区;旅游概念;农机;一带一路;深股通;融资融券,31,33,300177
920132.BJ,跨境电商;露营经济;人民币贬值受益;融资融券;一带一路,5,151,920132
600477.SH,HJT电池;钙钛矿电池;建筑节能;光伏建筑一体化;工业互联网;雄安新区;装配式建筑;一带一路;储能;沪股通;融资融券,11,17,600477
301098.SZ,新型城镇化;地下管网;特色小镇;足球概念;体育产业;PPP概念;土壤修复;旅游概念;乡村振兴;融资融券,10,33,301098
300460.SZ,抖音概念(字节概念);元宇宙;安防;星闪概念;华为海思概念股;华为概念;AI眼镜;DeepSeek概念;小米概念;汽车电子;ST板块;无人机;数据中心;机器人概念;卫星导航;苹果概念;比亚迪概念;芯片概念;专精特新;商业航天;海工装备;共封装光学(CPO),22,33,300460
300919.SZ,金属钴;金属镍;小金属概念;盐湖提锂;磷化工;钠离子电池;动力电池回收;固态电池;锂电池概念;宁德时代概念;特斯拉概念;回购增持再贷款概念;储能;新能源汽车;西部大开发;低空经济;机器人概念;深股通;融资融券,19,33,300919
300852.SZ,共封装光学(CPO);PCB概念;5G;毫米波雷达;汽车电子;数据中心;人形机器人;无人机;比亚迪概念;机器人概念;粤港澳大湾区;人民币贬值受益;一带一路;深股通,14,33,300852
920175.BJ,风电;融资融券;芯片概念;燃料电池;石墨电极;光伏概念;中俄贸易概念;3D打印;专精特新,9,151,920175
003000.SZ,人造肉;网红经济;乡村振兴;海峡两岸;一带一路;回购增持再贷款概念;深股通,7,33,003000
002222.SZ,光纤概念;无人驾驶;华为概念;虚拟现实;海峡两岸;福建自贸区;国企改革;深股通;融资融券,9,33,002222
000921.SZ,家用电器;智能家居;空气能热泵;DeepSeek概念;汽车热管理;人形机器人;新能源汽车;深股通;融资融券,9,33,000921
000798.SZ,预制菜;参股保险;国企改革;人工智能;央企国企改革;中字头股票,6,33,000798
600919.SH,高股息精选;沪股通;融资融券,3,17,600919
688148.SH,固态电池;锂电池概念;动力电池回收;宁德时代概念;特斯拉概念;比亚迪概念;芯片概念;人形机器人;融资融券,9,17,688148
002244.SZ,租售同权;物业管理;特色小镇;证金持股;乡村振兴;养老概念;深股通;融资融券;共同富裕示范区;固态电池;海峡两岸,11,33,002244
000978.SZ,旅游概念;文化传媒概念;国企改革;西部大开发;虚拟数字人;DeepSeek概念;腾讯概念;低空经济,8,33,000978
301449.SZ,注册制次新股;宁德时代概念;锂电池概念;网络安全;核电;高端装备;汽车热管理;水利;高压快充;储能;粤港澳大湾区;物联网;新能源汽车;智能医疗;充电桩;机器人概念;深股通;新股与次新股;融资融券,19,33,301449
301687.SZ,锂电池概念;PCB概念;POE胶膜;光伏概念;新能源汽车;比亚迪概念;苹果概念;消费电子概念;注册制次新股;专精特新;长三角一体化;海峡两岸;深股通;新股与次新股;融资融券,15,33,301687
600892.SH,ST板块;文化传媒概念;粤港澳大湾区;网络游戏;短剧游戏;手机游戏;创投;国企改革,8,22,600892
002266.SZ,可控核聚变;金属回收;小金属概念;金属镍;核电;金属铜;金属钴;雅下水电概念;金属锌;黄金概念;金属铅;抽水蓄能;一带一路;高端装备;固废处理;汽车拆解概念;碳中和;绿色电力;水利;动力电池回收;创投;共同富裕示范区;文化传媒概念;深股通;融资融券,25,33,002266
920735.BJ,流感;融资融券;创新药;减肥药;仿制药一致性评价,5,151,920735
688358.SH,智能医疗;AI应用;人工智能;医疗器械概念;宠物经济;人民币贬值受益;机器人概念;融资融券,8,17,688358
300261.SZ,NMN概念;合成生物;固废处理;工业大麻;垃圾分类;肝炎概念;医药电商;CRO概念;人民币贬值受益;跨境电商;深股通;融资融券,12,33,300261
002774.SZ,物联网;人工智能;粤港澳大湾区;一带一路;中俄贸易概念,5,33,002774
300834.SZ,粤港澳大湾区;专精特新;融资融券,3,33,300834
002461.SZ,啤酒概念;国企改革;深股通;融资融券,4,33,002461
603880.SH,医疗器械概念,1,17,603880
688091.SH,创新药;2025年报预增;沪股通;融资融券,4,17,688091
600729.SH,IP经济(谷子经济);互联网金融;养老概念;人工智能;证金持股;西部大开发;回购增持再贷款概念;机器人概念;小米汽车;沪股通;融资融券;黄金概念,12,17,600729
688638.SH,机器人概念;芯片概念;光伏概念;宁德时代概念;固态电池;锂电池概念;融资融券,7,17,688638
920471.BJ,融资融券;环氧丙烷;合成生物;基因测序;可降解塑料;京津冀一体化;NMN概念,7,151,920471
600039.SH,同花顺中特估100;雅下水电概念;PPP概念;碳交易;国企改革;西部大开发;一带一路;碳中和;沪股通;融资融券;锂电池概念;金属铜,12,17,600039
600248.SH,天然气;煤化工概念;新疆振兴;参股保险;国企改革;PPP概念;装配式建筑;乡村振兴;西部大开发;一带一路;水利;雅下水电概念;DeepSeek概念;风电;智慧城市;储能;融资融券;沪股通,18,17,600248
600810.SH,国企改革;回购增持再贷款概念;光伏建筑一体化;军工;股权转让(并购重组);沪股通;融资融券,7,17,600810
601606.SH,兵装重组概念;军民融合;军工;央企国企改革;新能源汽车;国企改革;沪股通;融资融券,8,17,601606
600502.SH,同花顺中特估100;PPP概念;新疆振兴;装配式建筑;绿色电力;污水处理;新型城镇化;物业管理;国企改革;雄安新区;乡村振兴;土壤修复;房屋检测;建筑节能;光伏建筑一体化;一带一路;水利;回购增持再贷款概念;雅下水电概念;抽水蓄能;数字经济;智能电网;低空经济;沪股通;融资融券,25,17,600502
603529.SH,共享单车;两轮车;鸿蒙概念;钠离子电池;换电概念;新能源汽车;融资融券;沪股通,8,17,603529
603970.SH,供销社;农业种植;草甘膦;乡村振兴;农机;京津冀一体化;无人机,7,17,603970
300649.SZ,新型城镇化;共同富裕示范区;雄安新区;PPP概念;水利;IP经济(谷子经济);碳中和;区块链,8,33,300649
600558.SH,可控核聚变;核电;海工装备;超超临界发电;军工;水利;2025三季报预增;西部大开发;国企改革,9,17,600558
301263.SZ,眼科医疗;毛发医疗;医药电商;创新药;合成生物;减肥药;医疗器械概念;深股通;融资融券,9,33,301263
300741.SZ,烟草;人造肉;乡村振兴;宠物经济;一带一路;西部大开发;人工智能;新型烟草(电子烟);融资融券;深股通,10,33,300741
300404.SZ,CRO概念;细胞免疫治疗;减肥药;阿尔茨海默概念;创新药;智能医疗;幽门螺杆菌概念;肝炎概念;人工智能;DeepSeek概念;专精特新,11,33,300404
600050.SH,同花顺中特估100;国企改革;央企国企改革;中字头股票;国资云;移动支付;DeepSeek概念;数据要素;区块链;云计算;人工智能;数据安全;一带一路;阿里巴巴概念;物联网;低空经济;智能家居;卫星导航;量子科技;商业航天;6G概念;中国AI 50;数据中心;同花顺新质50;5G;沪股通;融资融券,27,17,600050
600897.SH,福建自贸区;海峡两岸;国企改革;沪股通;融资融券,5,17,600897
688443.SH,创新药;西部大开发;沪股通;融资融券,4,17,688443
600976.SH,流感;创新药;三胎概念;融资融券;沪股通,5,17,600976
301097.SZ,三胎概念;医疗器械概念;融资融券,3,33,301097
600000.SH,证金持股;跨境支付(CIPS);信托概念;沪股通;融资融券,5,17,600000
002468.SZ,统一大市场;长三角一体化;乡村振兴;智能物流;回购增持再贷款概念;数字经济;阿里巴巴概念;人工智能;深股通;融资融券,10,33,002468
920873.BJ,AI应用;西部大开发;装配式建筑;融资融券;污水处理;智慧城市;水利;新型城镇化;数字孪生;房屋检测;净水概念;人工智能;云计算;一带一路;PPP概念,15,151,920873
920299.BJ,商业航天;阿里巴巴概念;融资融券;特高压;智能电网;数据中心,6,151,920299
002217.SZ,电子纸;福建自贸区;海峡两岸;华为手机;虚拟现实;柔性屏(折叠屏);OLED;ETC;5G;智能穿戴;汽车电子;消费电子概念;华为概念;东数西算(算力);富士康概念;算力租赁;PCB概念;比亚迪概念;无线充电;机器人概念;传感器;创投;新能源汽车;人民币贬值受益;国企改革;深股通;摘帽,27,33,002217
300755.SZ,跨境电商;西部大开发;融资融券;深股通,4,33,300755
000526.SZ,体育产业;职业教育;在线教育;DeepSeek概念;民营医院;人工智能;福建自贸区;海峡两岸;低空经济;回购增持再贷款概念;深股通,11,33,000526
605567.SH,预制菜;人造肉;冷链物流;养鸡;中韩自贸区;2025年报预增,6,17,605567
603829.SH,智能电网;光伏概念;储能,3,17,603829
605336.SH,家用电器;智能家居;DeepSeek概念,3,17,605336
603365.SH,网红经济,1,17,603365
002052.SZ,锂电池概念;换电概念;储能;人民币贬值受益;智能家居;物联网;东数西算(算力);2025年报预增;深股通;摘帽,10,33,002052
002687.SZ,创投,1,33,002687
002460.SZ,盐湖提锂;金属钴;小金属概念;动力电池回收;固态电池;锂电池概念;化肥;光伏概念;储能;特斯拉概念;消费电子概念;无线耳机;新能源汽车;同花顺漂亮100;充电桩;燃料电池;无人机;长安汽车概念;低空经济;人形机器人;深股通;融资融券,22,33,002460
688273.SH,脑机接口;智能医疗;AI智能体;人工智能;医美概念;DeepSeek概念;医疗器械概念;辅助生殖;机器人概念;专精特新;三胎概念;融资融券,12,17,688273
600594.SH,医药电商;流感;民营医院;医美概念;创新药;西部大开发;融资融券,7,17,600594
000875.SZ,抽水蓄能;超超临界发电;风电;绿色电力;充电桩;储能;氢能源;央企国企改革;华为概念;一带一路;PPP概念;国企改革;乡村振兴;机器人概念;深股通;融资融券,16,33,000875
300793.SZ,脑机接口;语音技术;智能音箱;血氧仪;星闪概念;空间计算;智能穿戴;鸿蒙概念;虚拟现实;无线耳机;元宇宙;人工智能;AI眼镜;阿里巴巴概念;车联网(车路协同);医疗器械概念;华为概念;小米概念;智能家居;机器视觉;消费电子概念;机器人概念;芯片概念;新型工业化;无人机;汽车电子;人民币贬值受益;苹果概念;换电概念;储能;一带一路;深股通,32,33,300793
603589.SH,白酒概念;沪股通;融资融券,3,17,603589
000822.SZ,钒电池;国企改革;氢能源;污水处理;深股通;固态电池;融资融券,7,33,000822
688221.SH,创新药;医疗器械概念;沪股通;融资融券,4,17,688221
600713.SH,医药电商;冷链物流;参股券商;国企改革;回购增持再贷款概念;沪股通,6,17,600713
603177.SH,医疗废物处理;碳中和;固废处理;氢能源;一带一路;燃料电池;充电桩;超超临界发电;钠离子电池,9,17,603177
603027.SH,西部大开发;融资融券;沪股通,3,17,603027
002856.SZ,粤港澳大湾区;新型城镇化;垃圾分类;国企改革,4,33,002856
603113.SH,煤炭概念;煤化工概念;氢能源;沪股通;融资融券,5,17,603113
920857.BJ,安防;机器人概念;西部大开发;融资融券;消费电子概念;小米概念,6,151,920857
601328.SH,同花顺中特估100;证金持股;跨境支付(CIPS);沪股通;融资融券,5,17,601328
000888.SZ,冰雪产业;旅游概念;啤酒概念;体育产业;IP经济(谷子经济);NFT概念;国企改革;西部大开发;智慧政务;低空经济;融资融券;深股通,12,33,000888
603628.SH,光伏建筑一体化;光伏概念;福建自贸区;建筑节能;储能;海峡两岸;绿色电力;回购增持再贷款概念;机器人概念;新疆振兴;人工智能;融资融券,12,17,603628
300382.SZ,减速器;人形机器人;机器人概念;新能源汽车;工业互联网;专精特新;C2M概念;储能;宁德时代概念;锂电池概念;绿色电力;融资融券;深股通,13,33,300382
000656.SZ,物业管理;三胎概念;托育服务;ST板块;西部大开发;股权转让(并购重组),6,33,000656
001259.SZ,家用电器;露营经济;净水概念,3,33,001259
603919.SH,白酒概念;啤酒概念;西部大开发;回购增持再贷款概念;沪股通;融资融券,6,17,603919
601528.SH,互联网金融;沪股通,2,17,601528
002120.SZ,统一大市场;冷链物流;跨境电商;乡村振兴;智能物流;回购增持再贷款概念;一带一路;低空经济;阿里巴巴概念;无人驾驶;抖音概念(字节概念);深股通;融资融券,13,33,002120
920033.BJ,锂电池概念;金属镍;金属铜;金属回收;西部大开发;融资融券;动力电池回收;小金属概念,8,151,920033
002327.SZ,深股通,1,33,002327
600488.SH,仿制药一致性评价;创新药;辅助生殖;京津冀一体化;数字经济;沪股通,6,17,600488
002419.SZ,预制菜;啤酒概念;白酒概念;无人零售;跨境电商;统一大市场;乡村振兴;智能物流;数字经济;农业种植;ChatGPT概念;AIGC概念;国企改革;鸿蒙概念;DeepSeek概念;人工智能;腾讯概念;粮食概念;新疆振兴;光伏建筑一体化;低空经济;粤港澳大湾区;央企国企改革;储能;AI应用;深股通;融资融券,27,33,002419
301118.SZ,磷化工;小金属概念;土壤修复;净水概念;一带一路;氢能源;光伏概念;芯片概念;融资融券,9,33,301118
002722.SZ,创投;语音技术;人工智能;独角兽概念;燃料电池;国企改革;高端装备;氢能源;ChatGPT概念;AIGC概念;特钢概念,11,33,002722
600223.SH,三胎概念;宠物经济;物业管理;旅游概念;合成生物;网红经济;仿制药一致性评价;流感;医美概念;国企改革;眼科医疗;创新药;医疗器械概念;重组蛋白;DeepSeek概念;独角兽概念;虚拟数字人;人工智能;元宇宙;腾讯概念;海峡两岸;融资融券;沪股通,23,17,600223
002723.SZ,短剧游戏;空气能热泵;PPP概念;露营经济;家用电器;储能;跨境电商;新型烟草(电子烟);医疗器械概念;液冷服务器;宠物经济;军工,12,33,002723
600470.SH,磷化工;化肥;煤化工概念;乡村振兴;锂电池概念;污水处理;融资融券,7,17,600470
603158.SH,空气能热泵;储能;汽车热管理;长安汽车概念;华为汽车;特斯拉概念;新能源汽车;比亚迪概念;数据中心;燃料电池;传感器;液冷服务器;汽车电子;华为概念;专精特新;智能座舱;氢能源;无线充电,18,17,603158
603201.SH,新能源汽车;人民币贬值受益;专精特新;跨境电商;比亚迪概念,5,17,603201
300370.SZ,页岩气;天然气;新疆振兴;数据要素;数字经济;智慧城市;网络安全;人工智能;安防;西部大开发;净水概念;国企改革;一带一路;物联网;工业互联网;机器人概念;新型工业化;AI应用,18,33,300370
002192.SZ,锂电池概念;储能;比亚迪概念;回购增持再贷款概念;粤港澳大湾区;深股通;融资融券,7,33,002192
301082.SZ,可控核聚变;核电;光热发电;高压快充;储能;专精特新;页岩气;融资融券,8,33,301082
605016.SH,代糖概念;参股银行;人民币贬值受益;专精特新;海峡两岸;沪股通,6,17,605016
000663.SZ,海峡两岸;乡村振兴;土地流转;碳中和;国企改革;碳交易;绿色电力;央企国企改革;天然气,9,33,000663
603032.SH,固态电池;锂电池概念;比亚迪概念;减速器;机器人概念;2025三季报预增;西部大开发;新疆振兴;融资融券,9,17,603032
300731.SZ,富士康概念;液冷服务器;第三代半导体;5G;汽车热管理;2025年报预增;宁德时代概念;数据中心;小米汽车;比亚迪概念;新能源汽车;储能;海峡两岸;华为概念;家用电器;粤港澳大湾区;创投;深股通,18,33,300731
600444.SH,海工装备;核电;可控核聚变;光热发电;水利;机器人概念;氢能源;污水处理;数据中心;芯片概念;锂电池概念;央企国企改革;国企改革;动力电池回收;盐湖提锂;金属回收,16,17,600444
688707.SH,钠离子电池;动力电池回收;固态电池;锂电池概念;宁德时代概念;碳中和;低空经济;西部大开发;国企改革;央企国企改革;融资融券;沪股通,12,17,688707
688726.SH,BC电池;TOPCON电池;钙钛矿电池;第三代半导体;光伏概念;芯片概念;专精特新;比亚迪概念;沪股通;融资融券,10,17,688726
300264.SZ,空间计算;专精特新;云游戏;MR(混合现实);人工智能;华为概念;在线教育;虚拟现实;国产操作系统;元宇宙;文化传媒概念;百度概念;虚拟数字人;AIGC概念;Web3.0;股权转让(并购重组),16,33,300264
002607.SZ,AI应用;AIGC概念;在线教育;虚拟数字人;职业教育;百度概念;阿里巴巴概念;DeepSeek概念;人工智能;旅游概念;乡村振兴;超级品牌;融资融券;深股通,14,33,002607
003001.SZ,水利;装配式建筑;地下管网;人工智能;土壤修复;雄安新区;一带一路;核电;可控核聚变;雅下水电概念;深股通,11,33,003001
300238.SZ,细胞免疫治疗;医美概念;医疗器械概念;眼科医疗;生物疫苗;创新药;创投;同花顺新质50;专精特新,9,33,300238
300723.SZ,重组蛋白;减肥药;创新药;肝炎概念;生物疫苗;猴痘概念;流感;仿制药一致性评价;智能医疗;医药电商;DeepSeek概念;三胎概念;粤港澳大湾区;英伟达概念;融资融券;深股通,16,33,300723
600127.SH,玉米;粮食概念;俄乌冲突概念;乳业;预制菜;乡村振兴;国企改革;养老概念;沪股通;融资融券,10,17,600127
002883.SZ,新型城镇化;地下管网;雄安新区;PPP概念;水利;土壤修复;污水处理;固废处理;乡村振兴;智慧城市;低空经济;回购增持再贷款概念;车联网(车路协同);数字经济;国企改革,15,33,002883
301219.SZ,金属钴;金属铜;金属镍;小金属概念;金属回收;动力电池回收;固态电池;锂电池概念;宁德时代概念;2025年报预增;专精特新;一带一路;人民币贬值受益;深股通;融资融券,15,33,301219
000953.SZ,CRO概念;海峡两岸;维生素;西部大开发;化肥;股权转让(并购重组),6,33,000953
300519.SZ,流感;肝炎概念;辅助生殖;互联网金融,4,33,300519
600097.SH,上海国企改革;上海自贸区;人民币贬值受益;国企改革;航运概念,5,17,600097
920015.BJ,有机硅概念;光刻胶;专精特新;新股与次新股;融资融券;国企改革,6,151,920015
920419.BJ,一带一路;宠物经济;融资融券;人民币贬值受益;IP经济(谷子经济),5,151,920419
002439.SZ,华为欧拉;云计算;数据安全;华为鲲鹏;智慧政务;鸿蒙概念;网络安全;信创;华为昇腾;电子身份证;腾讯概念;AI智能体;多模态AI;数据要素;跨境支付(CIPS);DeepSeek概念;数字经济;数字货币;人工智能;东数西算(算力);智慧城市;车联网(车路协同);物联网;华为概念;量子科技;京津冀一体化;工业互联网;数据中心;低空经济;智慧灯杆;军工信息化;机器人概念;无人机;小米概念;AI应用;烟草;5G;军民融合;6G概念;国企改革;融资融券;深股通,42,33,002439
601187.SH,福建自贸区;海峡两岸;沪股通,3,17,601187
002641.SZ,地下管网;新型城镇化;共同富裕示范区;水利;光伏建筑一体化;京津冀一体化;机器人概念;储能;光伏概念;天然气;融资融券;深股通,12,33,002641
920099.BJ,中俄贸易概念;环氧丙烷;一带一路;可降解塑料;专精特新;融资融券,6,151,920099
600648.SH,物业管理;跨境电商;国企改革;创投;上海自贸区;自由贸易港;回购增持再贷款概念;沪股通;融资融券,9,17,600648
600287.SH,跨境电商;参股银行;参股券商;参股保险;国企改革;期货概念;一带一路;数字经济;人民币贬值受益;摘帽,10,17,600287
600689.SH,人民币贬值受益;物业管理;创投;安防;国企改革;独角兽概念;股权转让(并购重组),7,17,600689
601598.SH,航运概念;统一大市场;自由贸易港;同花顺中特估100;冷链物流;中俄贸易概念;国企改革;回购增持再贷款概念;跨境电商;一带一路;央企国企改革;智能物流;无人驾驶;机器人概念;区块链;中字头股票;融资融券;沪股通,18,17,601598
605177.SH,合成生物;仿制药一致性评价;阿尔茨海默概念,3,17,605177
688013.SH,2025年报预增;医疗器械概念;专精特新;智能医疗;融资融券,5,17,688013
000952.SZ,肝炎概念;流感;仿制药一致性评价;合成生物;维生素;国企改革,6,33,000952
002200.SZ,PPP概念;特色小镇;污水处理;西部大开发;ST板块;国企改革,6,33,002200
000858.SZ,白酒概念;超级品牌;同花顺漂亮100;证金持股;参股券商;深股通;融资融券;西部大开发;国企改革,9,33,000858
002247.SZ,共同富裕示范区;长三角一体化,2,33,002247
920685.BJ,基因测序;融资融券;合成生物;专精特新,4,151,920685
600036.SH,证金持股;同花顺中特估100;沪股通;融资融券;同花顺漂亮100;跨境支付(CIPS),6,17,600036
002051.SZ,新疆振兴;同花顺中特估100;国企改革;固废处理;乡村振兴;央企国企改革;新型城镇化;污水处理;一带一路;水利;冰雪产业;人民币贬值受益;华为概念;深股通;融资融券;中字头股票,16,33,002051
920833.BJ,西部大开发;融资融券;新能源汽车;两轮车;专精特新,5,151,920833
300374.SZ,建筑节能;装配式建筑;新型城镇化;雄安新区;乡村振兴;国企改革;一带一路;京津冀一体化;央企国企改革;新疆振兴;工业互联网;中字头股票,12,33,300374
603817.SH,福建自贸区;海峡两岸;垃圾分类;污水处理;PPP概念;固废处理;绿色电力;国企改革,8,17,603817
605589.SH,PCB概念;超级电容;先进封装;光刻胶;OLED;存储芯片;芯片概念;6G概念;3D打印;石墨烯;固态电池;高端装备;核电;军工;锂电池概念;新能源汽车;大飞机;商业航天;储能;高铁;风电;硅能源;钠离子电池;代糖概念;丙烯酸;绿色电力;建筑节能;合成生物;沪股通;融资融券,30,17,605589
301058.SZ,粮食概念;大豆;乡村振兴;国企改革;冷链物流;中俄贸易概念;一带一路;冰雪产业;央企国企改革;农机;体育产业;食品安全;机器人概念;高端装备;深股通;中字头股票;融资融券,17,33,301058
600246.SH,存储芯片;芯片概念;毫米波雷达;5G;卫星导航;商业航天;数字经济;创投;京津冀一体化;物业管理;沪股通;融资融券,12,17,600246
600876.SH,光伏概念;光热发电;碳中和;国企改革;央企国企改革;沪股通;融资融券,7,17,600876
688577.SH,人形机器人;工业母机;新型工业化;机器人概念;工业互联网;专精特新;2025年报预增;军民融合;沪股通;融资融券,10,17,688577
300020.SZ,智慧城市;东数西算(算力);智慧政务;元宇宙;人工智能;华为鲲鹏;数字孪生;数据要素;数字经济;ST板块;华为概念;数字乡村;百度概念;区块链;阿里巴巴概念;车联网(车路协同);数据中心;智能医疗;ETC;创投;共同富裕示范区;机器人概念;家庭医生;无人驾驶,24,33,300020
002719.SZ,乳业;西部大开发;新疆振兴,3,33,002719
920166.BJ,新股与次新股;融资融券,2,151,920166
301135.SZ,家用电器;传感器;汽车电子;智能家居;机器人概念;消费电子概念;空气能热泵;毫米波雷达;物联网;人脸识别;工业互联网;医疗器械概念;语音技术;充电桩;芯片概念;海峡两岸;PCB概念;储能;人工智能;三胎概念;养老概念;腾讯概念;智能医疗;宠物经济;DeepSeek概念;锂电池概念;AI智能体;回购增持再贷款概念;融资融券,29,33,301135
002483.SZ,医疗废物处理;风电;海工装备;污水处理;固废处理;高端装备;一带一路;国企改革;人民币贬值受益;航运概念;天然气;深股通;融资融券,13,33,002483
603801.SH,智能家居;工业互联网;阿里巴巴概念;沪股通,4,17,603801
301656.SZ,注册制次新股;小米汽车;减速器;新能源汽车;小米概念;深股通;新股与次新股;融资融券,8,33,301656
601005.SH,特钢概念;央企国企改革;国企改革;西部大开发;风电;海工装备;核电;军工;新能源汽车;沪股通;融资融券,11,17,601005
002631.SZ,石墨烯;C2M概念;长三角一体化;工业互联网;柔性屏(折叠屏);智能家居;核污染防治;融资融券,8,33,002631
605338.SH,预制菜;宠物经济;沪股通,3,17,605338
002732.SZ,乳业;三胎概念;冷链物流;乡村振兴;统一大市场;玉米;国企改革;粤港澳大湾区,8,33,002732
000521.SZ,冷链物流;国企改革;净水概念;垃圾分类;家用电器;智能家居;医疗器械概念;回购增持再贷款概念;一带一路;空气能热泵;血氧仪;DeepSeek概念;人工智能;工业互联网;鸿蒙概念;小米概念;量子科技;深股通;融资融券,19,33,000521
601026.SH,碳纤维;丙烯酸;风电;注册制次新股;海工装备;光伏概念;储能;专精特新;新能源汽车;芯片概念;锂电池概念;新股与次新股;融资融券,13,17,601026
920519.BJ,西部大开发;融资融券;专精特新;军工,4,151,920519
603639.SH,生态农业;化肥;乡村振兴;一带一路;DeepSeek概念;沪股通;融资融券,7,17,603639
920523.BJ,安防;锂电池概念;人民币贬值受益;融资融券;专精特新,5,151,920523
002949.SZ,装配式建筑;新型城镇化;粤港澳大湾区;一带一路;低空经济;数字经济;人工智能;文化传媒概念;百度概念,9,33,002949
600195.SH,动物疫苗;禽流感;维生素;流感;宠物经济;乡村振兴;参股保险;国企改革;央企国企改革;2025年报预增;赛马概念;沪股通;中字头股票;融资融券,14,17,600195
600649.SH,租售同权;物业管理;参股券商;上海国企改革;参股银行;新型城镇化;国企改革;沪股通;融资融券;宁德时代概念,10,17,600649
000536.SZ,MiniLED;福建自贸区;OLED;海峡两岸;华为概念;消费电子概念;国企改革;新能源汽车;华为手机;深股通;融资融券;芯片概念;MicroLED概念,13,33,000536
600801.SH,水泥概念;雅下水电概念;一带一路;沪股通;融资融券,5,17,600801
000565.SZ,氢能源;西部大开发;军工;国企改革;储能;石墨烯;数字经济;融资融券,8,33,000565
002727.SZ,医药电商;养老概念;三胎概念;跨境电商;医疗器械概念;职业教育;西部大开发;2025年报预增;深股通;融资融券,10,33,002727
601618.SH,中字头股票;金属铅;金属钴;金属镍;小金属概念;同花顺中特估100;证金持股;国企改革;央企国企改革;PPP概念;装配式建筑;碳中和;一带一路;新型城镇化;光伏概念;工业互联网;沪股通;融资融券;高端装备,19,17,601618
600655.SH,黄金概念;小金属概念;预制菜;白酒概念;IP经济(谷子经济);旅游概念;冰雪产业;宠物经济;跨境电商;蚂蚁集团概念;体育产业;绿色电力;沪股通;融资融券;培育钻石,15,17,600655
600981.SH,物业管理;乡村振兴;预制菜;冷链物流;垃圾分类;跨境电商;参股券商;三胎概念;中俄贸易概念;统一大市场;国企改革;参股保险;创投;一带一路;期货概念;绿色电力;医疗器械概念;蚂蚁集团概念;海工装备;沪股通,20,17,600981
300586.SZ,固态电池;PCB概念;宁德时代概念;钠离子电池;锂电池概念;染料;芯片概念;专精特新;储能;可降解塑料;燃料电池;消毒剂;氢能源;深股通;融资融券,15,33,300586
300779.SZ,固废处理;稀土永磁;融资融券;深股通,4,33,300779
300439.SZ,肝炎概念;幽门螺杆菌概念;猴痘概念;基因测序;医疗器械概念;智能医疗;共同富裕示范区;DeepSeek概念,8,33,300439
003012.SZ,回购增持再贷款概念;智能家居;石墨烯;粤港澳大湾区;虚拟数字人;深股通,6,33,003012
300083.SZ,无线充电;工业母机;人形机器人;新型工业化;飞行汽车(eVTOL);智能穿戴;小米概念;比亚迪概念;消费电子概念;新能源汽车;机器人概念;苹果概念;一体化压铸;5G;液冷服务器;高端装备;工业互联网;无人机;华为概念;军工;低空经济;储能;粤港澳大湾区;创投;人工智能;回购增持再贷款概念;深股通;融资融券,28,33,300083
300289.SZ,猴痘概念;辅助生殖;智能医疗;医疗器械概念;重组蛋白;生物疫苗;国企改革;股权转让(并购重组),8,33,300289
603877.SH,共同富裕示范区;回购增持再贷款概念;沪股通;融资融券,4,17,603877
600846.SH,房屋检测;垃圾分类;PPP概念;建筑节能;装配式建筑;雄安新区;污水处理;国企改革;沪股通;融资融券,10,17,600846
002307.SZ,新型城镇化;PPP概念;新疆振兴;乡村振兴;国企改革;水利;西部大开发;一带一路;雅下水电概念;医疗器械概念;3D打印;DeepSeek概念;深股通;融资融券,14,33,002307
002556.SZ,化肥;土地流转;粮食概念;玉米;煤化工概念;磷化工;农村电商;供销社;农业种植;民爆概念;染料;乡村振兴;生物质能发电;统一大市场;建筑节能;装配式建筑;维生素;毛发医疗;创投;医美概念;数字乡村;互联网金融;光伏概念;融资融券;深股通,25,33,002556
300899.SZ,ST板块;净水概念;污水处理;上海自贸区,4,33,300899
002594.SZ,盐湖提锂;钠离子电池;同花顺漂亮100;深股通;融资融券;动力电池回收;超级品牌;同花顺出海50;锂电池概念;储能;高压快充;充电桩;光伏概念;车联网(车路协同);DeepSeek概念;数据中心;新能源汽车;机器人概念;芯片概念;无人驾驶;比亚迪概念;粤港澳大湾区,22,33,002594
603599.SH,草甘膦;染料;沪股通;融资融券,4,17,603599
